_id,orderId,orderDate,orderStatus,orderTotalCost,paymentMethod,customerOrder,totalProducts,deliveryDate,deliveryTime,datesByStatus.In preparation,datesByStatus.In shipment,datesByStatus.Shipped,orderLines.orderLineId,orderLines.orderId,orderLines.productsLines[0].orderLineId,orderLines.productsLines[1].orderLineId,orderLines.productsLines[2].orderLineId,orderLines.productsLines[3].orderLineId,orderLines.productsLines[4].orderLineId,orderLines.productsLines[0].productId,orderLines.productsLines[1].productId,orderLines.productsLines[2].productId,orderLines.productsLines[3].productId,orderLines.productsLines[4].productId,orderLines.productsLines[0].quantity,orderLines.productsLines[1].quantity,orderLines.productsLines[2].quantity,orderLines.productsLines[3].quantity,orderLines.productsLines[4].quantity,orderLines.productsLines[0].originalPrice,orderLines.productsLines[1].originalPrice,orderLines.productsLines[2].originalPrice,orderLines.productsLines[3].originalPrice,orderLines.productsLines[4].originalPrice,orderLines.productsLines[0].discountedPrice,orderLines.productsLines[1].discountedPrice,orderLines.productsLines[2].discountedPrice,orderLines.productsLines[3].discountedPrice,orderLines.productsLines[4].discountedPrice,orderLines.productsLines[0].discountAmount,orderLines.productsLines[1].discountAmount,orderLines.productsLines[2].discountAmount,orderLines.productsLines[3].discountAmount,orderLines.productsLines[4].discountAmount,orderLines.productsLines[0].totalProductPrice,orderLines.productsLines[1].totalProductPrice,orderLines.productsLines[2].totalProductPrice,orderLines.productsLines[3].totalProductPrice,orderLines.productsLines[4].totalProductPrice,datesByStatus.In delivery,datesByStatus.Delivered
65e723db2b05f3456f8e3de6,11,2024-02-19,Shipped,367.08,Credit card,21,10,2024-02-22,9:30,2024-02-19,2024-02-20,2024-02-21,-489,11,-489,-489,-489,-489,,431,234,383,283,,1,2,2,5,,7.21,98.38,85.13,11.81,,3.6,88.54,68.1,10.04,,50,10,20,15,,3.6,177.08,136.21,50.19,,,
65e723db2b05f3456f8e3de7,12,2023-05-16,In delivery,46.28,PayPal,349,6,2023-05-21,5:28,2023-05-16,2023-05-17,2023-05-18,-488,12,-488,-488,,,,393,274,,,,5,1,,,,10.05,8.11,,,,8.04,6.08,,,,20,25,,,,40.2,6.08,,,,2023-05-19,
65e723db2b05f3456f8e3de8,13,2023-11-01,Delivered,344.9,Cheque,85,12,2023-11-06,7:52,2023-11-01,2023-11-02,2023-11-03,-487,13,-487,-487,-487,-487,,76,166,33,460,,2,2,5,3,,39.38,31.7,25.42,53.87,,27.57,25.36,20.34,45.79,,30,20,20,15,,55.13,50.72,101.68,137.37,,2023-11-04,2023-11-05
65e723db2b05f3456f8e3de9,14,2023-10-26,Shipped,73.22,Cheque,301,4,2023-11-02,3:52,2023-10-26,2023-10-27,2023-10-28,-486,14,-486,,,,,483,,,,,4,,,,,28.16,,,,,18.3,,,,,35,,,,,73.22,,,,,,
65e723db2b05f3456f8e3dea,15,2024-01-20,Delivered,145.25,Cheque,156,4,2024-01-21,14:28,2024-01-20,2024-01-21,2024-01-22,-485,15,-485,-485,,,,409,36,,,,2,2,,,,51.68,34.82,,,,46.51,26.12,,,,10,25,,,,93.02,52.23,,,,2024-01-23,2024-01-24
65e723db2b05f3456f8e3deb,16,2023-04-24,In shipment,183.71,Cheque,485,7,2023-04-28,12:55,2023-04-24,2023-04-25,,-484,16,-484,-484,-484,-484,,80,117,329,310,,3,1,1,2,,11.79,28.08,63.51,77.2,,10.61,23.87,50.81,38.6,,10,15,20,50,,31.83,23.87,50.81,77.2,,,
65e723db2b05f3456f8e3dec,17,2023-10-18,In preparation,459.26,Bank transfer,118,17,2023-10-21,6:14,2023-10-18,,,-483,17,-483,-483,-483,-483,-483,16,459,120,297,48,3,5,2,3,4,3.71,47.2,40.69,34.39,42.64,2.97,35.4,20.34,29.23,36.24,20,25,50,15,15,8.9,177,40.69,87.69,144.98,,
65e723db2b05f3456f8e3ded,18,2023-05-29,Delivered,378.42,Cheque,54,7,2023-06-04,0:16,2023-05-29,2023-05-30,2023-05-31,-482,18,-482,-482,,,,311,471,,,,2,5,,,,79.98,58.93,,,,63.98,50.09,,,,20,15,,,,127.97,250.45,,,,2023-06-01,2023-06-02
65e723db2b05f3456f8e3dee,19,2023-05-23,Delivered,393.06,Bank transfer,245,11,2023-05-27,0:7,2023-05-23,2023-05-24,2023-05-25,-481,19,-481,-481,-481,,,120,110,471,,,4,2,5,,,40.69,36.02,58.93,,,20.34,30.62,50.09,,,50,15,15,,,81.38,61.23,250.45,,,2023-05-26,2023-05-27
65e723db2b05f3456f8e3def,20,2023-03-21,In delivery,226.12,Credit card,73,11,2023-03-25,11:18,2023-03-21,2023-03-22,2023-03-23,-480,20,-480,-480,-480,-480,,208,199,415,38,,5,3,1,2,,36.38,56.39,6.19,1.51,,18.19,42.29,5.57,1.36,,50,25,10,10,,90.95,126.88,5.57,2.72,,2023-03-24,
65e723db2b05f3456f8e3df0,21,2023-09-24,In preparation,768.24,Credit card,27,15,2023-09-30,8:57,2023-09-24,,,-479,21,-479,-479,-479,-479,-479,234,67,163,70,40,5,1,3,4,2,98.38,10.75,26.29,62.34,43.26,88.54,6.45,18.4,52.99,25.96,10,40,30,15,40,442.71,6.45,55.21,211.96,51.91,,
65e723db2b05f3456f8e3df1,22,2023-05-28,Shipped,725.76,Credit card,297,13,2023-05-29,16:55,2023-05-28,2023-05-29,2023-05-30,-478,22,-478,-478,-478,-478,-478,22,279,129,227,402,5,3,1,2,2,63.79,91.18,51.48,25.03,88.35,54.22,82.06,30.89,22.53,66.26,15,10,40,10,25,271.11,246.19,30.89,45.05,132.52,,
65e723db2b05f3456f8e3df2,23,2024-02-04,Shipped,538.35,Credit card,8,13,2024-02-08,2:0,2024-02-04,2024-02-05,2024-02-06,-477,23,-477,-477,-477,-477,,225,458,181,134,,2,5,4,2,,61.38,9.33,79.36,68.35,,55.24,7.93,71.42,51.26,,10,15,10,25,,110.48,39.65,285.7,102.52,,,
65e723db2b05f3456f8e3df3,24,2023-04-03,In delivery,142.38,Bank transfer,15,4,2023-04-04,22:41,2023-04-03,2023-04-04,2023-04-05,-476,24,-476,-476,,,,49,422,,,,3,1,,,,47.1,44.19,,,,38.62,26.51,,,,18,40,,,,115.87,26.51,,,,2023-04-06,
65e723db2b05f3456f8e3df4,25,2024-01-22,In delivery,361.78,PayPal,164,8,2024-01-25,16:37,2024-01-22,2024-01-23,2024-01-24,-475,25,-475,-475,-475,,,313,441,116,,,3,4,1,,,25.1,85.91,62.89,,,22.59,60.14,53.46,,,10,30,15,,,67.77,240.55,53.46,,,2024-01-25,
65e723db2b05f3456f8e3df5,26,2023-10-13,In shipment,78.36,Credit card,304,9,2023-10-15,5:56,2023-10-13,2023-10-14,,-474,26,-474,-474,-474,,,64,382,449,,,2,5,2,,,51.4,1.06,4.56,,,33.41,0.85,3.65,,,35,20,20,,,66.82,4.24,7.3,,,,
65e723db2b05f3456f8e3df6,27,2023-07-20,In shipment,418.36,PayPal,365,6,2023-07-21,6:39,2023-07-20,2023-07-21,,-473,27,-473,-473,,,,323,354,,,,1,5,,,,43.63,89.71,,,,37.09,76.25,,,,15,15,,,,37.09,381.27,,,,,
65e723db2b05f3456f8e3df7,28,2024-01-20,Shipped,144.66,Cheque,289,3,2024-01-23,18:56,2024-01-20,2024-01-21,2024-01-22,-472,28,-472,,,,,318,,,,,3,,,,,56.73,,,,,48.22,,,,,15,,,,,144.66,,,,,,
65e723db2b05f3456f8e3df8,29,2023-10-20,In shipment,527.46,Credit card,167,15,2023-10-23,17:51,2023-10-20,2023-10-21,,-471,29,-471,-471,-471,-471,,489,456,54,192,,5,1,5,4,,47.12,82.85,40.98,33.49,,35.34,66.28,32.78,30.14,,25,20,20,10,,176.7,66.28,163.92,120.56,,,
65e723db2b05f3456f8e3df9,30,2024-01-02,In delivery,200.65,Bank transfer,224,8,2024-01-08,8:43,2024-01-02,2024-01-03,2024-01-04,-470,30,-470,-470,,,,207,58,,,,5,3,,,,3.25,77.85,,,,2.76,62.28,,,,15,20,,,,13.81,186.84,,,,2024-01-05,
65e723db2b05f3456f8e3dfa,31,2023-04-10,In delivery,440.64,Credit card,195,15,2023-04-14,21:26,2023-04-10,2023-04-11,2023-04-12,-469,31,-469,-469,-469,-469,-469,415,295,351,31,90,1,1,5,4,4,6.19,55.39,11.99,9.19,87.31,5.57,41.54,9.59,7.81,78.58,10,25,20,15,10,5.57,41.54,47.96,31.25,314.32,2023-04-13,
65e723db2b05f3456f8e3dfb,32,2024-02-10,In shipment,258.64,Cheque,396,6,2024-02-14,11:20,2024-02-10,2024-02-11,,-468,32,-468,-468,,,,121,196,,,,2,4,,,,33.49,82.65,,,,30.14,49.59,,,,10,40,,,,60.28,198.36,,,,,
65e723db2b05f3456f8e3dfc,33,2024-01-18,Delivered,0.18,PayPal,442,1,2024-01-24,21:22,2024-01-18,2024-01-19,2024-01-20,-467,33,-467,,,,,352,,,,,1,,,,,0.21,,,,,0.18,,,,,15,,,,,0.18,,,,,2024-01-21,2024-01-22
65e723db2b05f3456f8e3dfd,34,2023-11-07,In shipment,751.65,PayPal,467,12,2023-11-07,20:30,2023-11-07,2023-11-08,,-466,34,-466,-466,-466,-466,,263,469,66,28,,1,4,5,2,,23.94,95.97,88.1,60.83,,19.15,76.78,70.48,36.5,,20,20,20,40,,19.15,307.1,352.4,73,,,
65e723db2b05f3456f8e3dfe,35,2023-09-26,Shipped,55.33,PayPal,126,6,2023-10-01,14:0,2023-09-26,2023-09-27,2023-09-28,-465,35,-465,-465,,,,302,123,,,,3,3,,,,4.48,25.14,,,,3.36,15.08,,,,25,40,,,,10.08,45.25,,,,,
65e723db2b05f3456f8e3dff,36,2023-10-18,In delivery,215.44,Cheque,318,5,2023-10-21,12:17,2023-10-18,2023-10-19,2023-10-20,-464,36,-464,-464,,,,97,346,,,,1,4,,,,24.53,60.81,,,,20.85,48.65,,,,15,20,,,,20.85,194.59,,,,2023-10-21,
65e723db2b05f3456f8e3e00,37,2023-09-04,In shipment,158.3,Bank transfer,182,3,2023-09-06,22:46,2023-09-04,2023-09-05,,-463,37,-463,,,,,331,,,,,3,,,,,62.08,,,,,52.77,,,,,15,,,,,158.3,,,,,,
65e723db2b05f3456f8e3e01,38,2023-09-05,Delivered,233.65,Credit card,420,8,2023-09-07,14:56,2023-09-05,2023-09-06,2023-09-07,-462,38,-462,-462,-462,,,454,288,37,,,1,2,5,,,39.62,83.05,9.46,,,35.66,78.9,8.04,,,10,5,15,,,35.66,157.79,40.2,,,2023-09-08,2023-09-09
65e723db2b05f3456f8e3e02,39,2023-03-08,In shipment,5.21,Bank transfer,219,1,2023-03-11,8:42,2023-03-08,2023-03-09,,-461,39,-461,,,,,253,,,,,1,,,,,6.13,,,,,5.21,,,,,15,,,,,5.21,,,,,,
65e723db2b05f3456f8e3e03,40,2023-04-07,Shipped,523.32,Bank transfer,35,14,2023-04-12,7:48,2023-04-07,2023-04-08,2023-04-09,-460,40,-460,-460,-460,-460,,291,40,309,17,,1,5,4,4,,43.71,43.26,31.8,79.63,,30.6,25.96,27.03,63.7,,30,40,15,20,,30.6,129.78,108.12,254.82,,,
65e723db2b05f3456f8e3e04,41,2023-10-18,Shipped,296.44,Cheque,143,13,2023-10-19,4:1,2023-10-18,2023-10-19,2023-10-20,-459,41,-459,-459,-459,-459,-459,4,30,106,395,13,4,3,1,3,2,40.51,9.38,69.82,4.55,52.87,34.43,8.44,52.36,4.09,34.37,15,10,25,10,35,137.73,25.33,52.36,12.29,68.73,,
65e723db2b05f3456f8e3e05,42,2023-04-21,In preparation,4.19,Bank transfer,431,3,2023-04-27,19:47,2023-04-21,,,-458,42,-458,,,,,127,,,,,3,,,,,1.86,,,,,1.4,,,,,25,,,,,4.19,,,,,,
65e723db2b05f3456f8e3e06,43,2024-02-04,In shipment,202.59,Credit card,207,9,2024-02-08,1:9,2024-02-04,2024-02-05,,-457,43,-457,-457,-457,,,57,430,415,,,5,1,3,,,29.49,71.23,6.19,,,25.07,60.55,5.57,,,15,15,10,,,125.33,60.55,16.71,,,,
65e723db2b05f3456f8e3e07,44,2023-05-14,Shipped,178.22,Cheque,386,8,2023-05-19,7:33,2023-05-14,2023-05-15,2023-05-16,-456,44,-456,-456,-456,,,256,112,30,,,2,2,4,,,33.74,49.51,9.38,,,27.67,44.56,8.44,,,18,10,10,,,55.33,89.12,33.77,,,,
65e723db2b05f3456f8e3e08,45,2023-06-12,In shipment,562.96,Bank transfer,494,12,2023-06-16,11:4,2023-06-12,2023-06-13,,-455,45,-455,-455,-455,-455,,370,186,332,461,,4,2,5,1,,49.2,62.41,75.25,51.41,,24.6,56.17,61.7,43.7,,50,10,18,15,,98.4,112.34,308.52,43.7,,,
65e723db2b05f3456f8e3e09,46,2023-12-07,Delivered,18.72,PayPal,96,1,2023-12-11,4:49,2023-12-07,2023-12-08,2023-12-09,-454,46,-454,,,,,108,,,,,1,,,,,31.2,,,,,18.72,,,,,40,,,,,18.72,,,,,2023-12-10,2023-12-11
65e723db2b05f3456f8e3e0a,47,2023-08-10,Shipped,480.06,Cheque,217,15,2023-08-14,11:27,2023-08-10,2023-08-11,2023-08-12,-453,47,-453,-453,-453,-453,-453,280,367,339,89,221,5,2,1,3,4,10.47,60.97,53.96,66.55,52.57,9.42,48.78,43.17,39.93,43.11,10,20,20,40,18,47.12,97.55,43.17,119.79,172.43,,
65e723db2b05f3456f8e3e0b,48,2023-07-20,In shipment,48.22,Bank transfer,404,1,2023-07-27,5:54,2023-07-20,2023-07-21,,-452,48,-452,,,,,318,,,,,1,,,,,56.73,,,,,48.22,,,,,15,,,,,48.22,,,,,,
65e723db2b05f3456f8e3e0c,49,2023-11-05,Shipped,351.48,Cheque,6,5,2023-11-09,4:32,2023-11-05,2023-11-06,2023-11-07,-451,49,-451,,,,,101,,,,,5,,,,,87.87,,,,,70.3,,,,,20,,,,,351.48,,,,,,
65e723db2b05f3456f8e3e0d,50,2024-03-04,Delivered,70.48,Bank transfer,76,3,2024-03-09,22:18,2024-03-04,2024-03-05,2024-03-06,-450,50,-450,-450,,,,264,378,,,,1,2,,,,45.32,22.8,,,,31.72,19.38,,,,30,15,,,,31.72,38.76,,,,2024-03-07,2024-03-08
65e723db2b05f3456f8e3e0e,51,2023-06-06,In preparation,407.24,Cheque,140,16,2023-06-06,0:40,2023-06-06,,,-449,51,-449,-449,-449,-449,-449,4,138,282,231,67,1,3,3,5,4,40.51,3.11,69.08,57.92,10.75,34.43,2.49,55.26,34.75,6.45,15,20,20,40,40,34.43,7.46,165.79,173.76,25.8,,
65e723db2b05f3456f8e3e0f,52,2023-04-15,Delivered,725.01,PayPal,146,22,2023-04-21,16:15,2023-04-15,2023-04-16,2023-04-17,-448,52,-448,-448,-448,-448,-448,222,86,40,64,440,4,4,5,5,4,5.33,85.71,43.26,51.4,31.92,4.37,77.14,25.96,33.41,25.54,18,10,40,35,20,17.48,308.56,129.78,167.05,102.14,2023-04-18,2023-04-19
65e723db2b05f3456f8e3e10,53,2023-12-21,In shipment,267.92,Cheque,158,4,2023-12-25,11:18,2023-12-21,2023-12-22,,-447,53,-447,-447,,,,413,15,,,,1,3,,,,67.98,96.42,,,,50.98,72.31,,,,25,25,,,,50.98,216.94,,,,,
65e723db2b05f3456f8e3e11,54,2024-03-01,In preparation,156.68,Cheque,55,6,2024-03-04,18:9,2024-03-01,,,-446,54,-446,-446,-446,,,49,486,105,,,1,4,1,,,47.1,24.68,40.18,,,38.62,20.98,34.15,,,18,15,15,,,38.62,83.91,34.15,,,,
65e723db2b05f3456f8e3e12,55,2023-10-16,Delivered,285.69,Cheque,146,9,2023-10-22,12:48,2023-10-16,2023-10-17,2023-10-18,-445,55,-445,-445,-445,,,184,144,378,,,5,1,3,,,42.34,52.88,22.8,,,38.11,37.02,19.38,,,10,30,15,,,190.53,37.02,58.14,,,2023-10-19,2023-10-20
65e723db2b05f3456f8e3e13,56,2023-05-09,Shipped,367.43,Credit card,451,13,2023-05-13,15:31,2023-05-09,2023-05-10,2023-05-11,-444,56,-444,-444,-444,-444,,220,327,266,69,,2,3,3,5,,45.28,93.73,2.15,24.1,,27.17,70.3,1.93,19.28,,40,25,10,20,,54.34,210.89,5.8,96.4,,,
65e723db2b05f3456f8e3e14,57,2023-11-21,In shipment,231.33,Bank transfer,369,8,2023-11-25,19:1,2023-11-21,2023-11-22,,-443,57,-443,-443,-443,,,221,386,139,,,3,2,3,,,52.57,23.21,24.53,,,43.11,19.73,20.85,,,18,15,15,,,129.32,39.46,62.55,,,,
65e723db2b05f3456f8e3e15,58,2023-11-29,In shipment,543.3,Credit card,400,11,2023-11-29,6:42,2023-11-29,2023-11-30,,-442,58,-442,-442,-442,-442,-442,99,434,497,285,220,1,3,4,2,1,23.08,71.41,95.33,0.63,45.28,19.62,57.13,81.03,0.5,27.17,15,20,15,20,40,19.62,171.38,324.12,1.01,27.17,,
65e723db2b05f3456f8e3e16,59,2023-04-04,In shipment,25.76,Credit card,87,1,2023-04-11,13:42,2023-04-04,2023-04-05,,-441,59,-441,,,,,435,,,,,1,,,,,30.3,,,,,25.76,,,,,15,,,,,25.76,,,,,,
65e723db2b05f3456f8e3e17,60,2023-07-15,Delivered,63.3,Cheque,18,2,2023-07-18,8:7,2023-07-15,2023-07-16,2023-07-17,-440,60,-440,,,,,491,,,,,2,,,,,48.69,,,,,31.65,,,,,35,,,,,63.3,,,,,2023-07-18,2023-07-19
65e723db2b05f3456f8e3e18,61,2023-06-08,Delivered,454.98,Bank transfer,191,10,2023-06-14,9:37,2023-06-08,2023-06-09,2023-06-10,-439,61,-439,-439,-439,,,499,90,103,,,2,3,5,,,89.88,87.31,16.61,,,76.4,78.58,13.29,,,15,10,20,,,152.8,235.74,66.44,,,2023-06-11,2023-06-12
65e723db2b05f3456f8e3e19,62,2023-05-29,Shipped,774.97,Bank transfer,116,18,2023-06-03,23:55,2023-05-29,2023-05-30,2023-05-31,-438,62,-438,-438,-438,-438,-438,315,289,349,350,259,4,3,1,5,5,85.33,5.56,8.26,30.36,81.82,72.53,4.45,7.02,25.81,67.09,15,20,15,15,18,290.12,13.34,7.02,129.03,335.46,,
65e723db2b05f3456f8e3e1a,63,2023-08-11,In shipment,47.96,PayPal,138,5,2023-08-16,10:59,2023-08-11,2023-08-12,,-437,63,-437,,,,,416,,,,,5,,,,,11.99,,,,,9.59,,,,,20,,,,,47.96,,,,,,
65e723db2b05f3456f8e3e1b,64,2023-03-07,In shipment,792.78,PayPal,460,14,2023-03-11,0:43,2023-03-07,2023-03-08,,-436,64,-436,-436,-436,-436,-436,203,78,416,9,376,1,2,3,4,4,81.05,23.87,11.99,90.45,99.06,72.94,14.32,9.59,81.41,84.2,10,40,20,10,15,72.94,28.64,28.78,325.62,336.8,,
65e723db2b05f3456f8e3e1c,65,2023-06-28,In delivery,369.76,PayPal,238,16,2023-06-29,20:57,2023-06-28,2023-06-29,2023-06-30,-435,65,-435,-435,-435,-435,,365,88,83,373,,4,5,3,4,,4.02,31.34,17.34,65.84,,3.22,18.8,13,55.96,,20,40,25,15,,12.86,94.02,39.02,223.86,,2023-07-01,
65e723db2b05f3456f8e3e1d,66,2023-03-17,Delivered,34.16,Cheque,436,2,2023-03-21,2:20,2023-03-17,2023-03-18,2023-03-19,-434,66,-434,-434,,,,264,147,,,,1,1,,,,45.32,4.87,,,,31.72,2.44,,,,30,50,,,,31.72,2.44,,,,2023-03-20,2023-03-21
65e723db2b05f3456f8e3e1e,67,2023-10-07,Shipped,110.16,Cheque,451,7,2023-10-10,12:34,2023-10-07,2023-10-08,2023-10-09,-433,67,-433,-433,-433,-433,,266,467,213,36,,2,1,1,3,,2.15,35.84,3.18,34.82,,1.93,25.09,2.86,26.12,,10,30,10,25,,3.87,25.09,2.86,78.34,,,
65e723db2b05f3456f8e3e1f,68,2023-04-29,In shipment,878.96,PayPal,126,21,2023-05-06,22:49,2023-04-29,2023-04-30,,-432,68,-432,-432,-432,-432,-432,145,317,169,434,120,4,5,4,5,3,99.17,49.42,7.38,71.41,40.69,84.29,34.59,5.54,57.13,20.34,15,30,25,20,50,337.18,172.97,22.14,285.64,61.03,,
65e723db2b05f3456f8e3e20,69,2023-04-03,In preparation,561.8,Bank transfer,80,14,2023-04-05,10:26,2023-04-03,,,-431,69,-431,-431,-431,-431,-431,242,484,27,429,335,5,1,3,2,3,39.88,71.88,80.71,51.23,47.95,23.93,46.72,72.64,42.01,31.17,40,35,10,18,35,119.64,46.72,217.92,84.02,93.5,,
65e723db2b05f3456f8e3e21,70,2023-06-14,In preparation,476.78,Credit card,486,16,2023-06-20,12:2,2023-06-14,,,-430,70,-430,-430,-430,-430,-430,179,443,165,153,283,3,5,2,3,3,22.9,34.51,92.36,63.48,11.81,18.32,27.61,55.42,47.61,10.04,20,20,40,25,15,54.96,138.04,110.83,142.83,30.12,,
65e723db2b05f3456f8e3e22,71,2024-01-09,In preparation,280.49,Bank transfer,467,8,2024-01-15,19:7,2024-01-09,,,-429,71,-429,-429,-429,,,312,205,291,,,1,3,4,,,13.27,66.73,43.71,,,7.96,50.05,30.6,,,40,25,30,,,7.96,150.14,122.39,,,,
65e723db2b05f3456f8e3e23,72,2023-11-08,In preparation,174.47,Bank transfer,15,7,2023-11-11,10:49,2023-11-08,,,-428,72,-428,-428,-428,,,395,389,93,,,4,2,1,,,4.55,84.2,15.74,,,4.09,71.57,14.95,,,10,15,5,,,16.38,143.14,14.95,,,,
65e723db2b05f3456f8e3e24,73,2024-01-15,In delivery,527.47,PayPal,435,11,2024-01-16,7:28,2024-01-15,2024-01-16,2024-01-17,-427,73,-427,-427,-427,-427,,439,494,219,116,,2,2,2,5,,75.78,2.37,70.59,62.89,,68.2,1.9,60,53.46,,10,20,15,15,,136.4,3.79,120,267.28,,2024-01-18,
65e723db2b05f3456f8e3e25,74,2023-10-03,In preparation,282.88,PayPal,462,7,2023-10-05,0:35,2023-10-03,,,-426,74,-426,-426,-426,,,320,226,120,,,2,2,3,,,79.34,65.16,40.69,,,55.54,55.39,20.34,,,30,15,50,,,111.08,110.77,61.03,,,,
65e723db2b05f3456f8e3e26,75,2024-02-05,In delivery,542.16,Bank transfer,395,18,2024-02-08,19:32,2024-02-05,2024-02-06,2024-02-07,-425,75,-425,-425,-425,-425,-425,272,446,139,70,153,5,2,5,5,1,21.72,54.76,24.53,62.34,63.48,14.12,27.38,20.85,52.99,47.61,35,50,15,15,25,70.59,54.76,104.25,264.95,47.61,2024-02-08,
65e723db2b05f3456f8e3e27,76,2024-01-16,In delivery,590.81,Bank transfer,234,10,2024-01-19,0:35,2024-01-16,2024-01-17,2024-01-18,-424,76,-424,-424,-424,,,344,443,86,,,5,1,4,,,84.88,34.51,85.71,,,50.93,27.61,77.14,,,40,20,10,,,254.64,27.61,308.56,,,2024-01-19,
