x,y,place,population,surface,Environnement,Transports,Sécurité,Santé,Sports et loisirs,Culture,Enseignement,Commerces,Qualité de vie
-0.13331437,0.8095145,Abbeville-Saint-Lucien,506,5.31,2.9,2.12,2.65,6.87,6.44,9.02,4.58,7.33,4.0
-0.08357872,0.7664113,Abbévillers,877,11.19,1.73,6.6,2.38,0.66,5.6,2.06,2.96,7.86,9.41
-0.13586701,0.7026777,Abeilhan,979,7.88,3.27,6.47,3.34,8.35,2.1,4.16,7.29,9.81,2.72
-0.090325795,0.77328247,Abelcourt,303,7.61,4.6,8.79,6.45,7.34,6.83,6.42,1.12,3.71,7.02
-0.17953107,0.70896125,Abère,133,5.77,7.4,0.17,3.6,0.09,1.36,7.29,4.24,3.13,2.26
-0.10253719,0.76207376,Abergement-la-Ronce,735,7.14,2.25,2.12,3.17,9.96,9.21,4.79,1.32,7.8,8.05
-0.09913175,0.75889504,Abergement-le-Grand,41,4.14,9.67,3.38,4.82,6.27,0.71,7.3,8.82,9.81,7.02
-0.098962136,0.7586561,Abergement-le-Petit,43,1.6,4.25,7.12,7.33,4.74,9.53,2.32,1.36,4.22,2.97
-0.096045956,0.75861937,Abergement-lès-Thésy,53,4.55,1.23,1.81,1.9,4.21,6.67,9.03,4.39,1.68,2.9
-0.18509081,0.7102054,Abidos,200,,9.22,7.78,,1.27,7.66,2.22,8.14,7.99,2.14
-0.15732414,0.76785266,Abilly,1109,30.7,2.29,1.67,9.46,9.16,8.41,7.66,2.14,9.62,3.6
-0.18957573,0.711463,Abitain,107,6.64,7.21,6.58,9.32,2.91,0.39,5.19,6.24,8.96,9.23
-0.16116889,0.74446857,Abjat-sur-Bandiat,624,28.85,8.66,0.24,9.93,2.19,7.77,5.8,7.84,8.16,1.8
-0.1250113,0.82373476,Ablain-Saint-Nazaire,1843,9.96,2.51,2.45,1.34,9.84,0.59,9.89,5.99,2.22,8.71
-0.12520114,0.8139981,Ablaincourt-Pressoir,227,9.96,5.33,3.88,7.74,6.19,8.67,5.95,3.32,3.68,9.86
-0.12542032,0.8195164,Ablainzevelle,172,4.26,0.25,7.6,7.53,0.19,0.06,2.86,5.16,3.99,5.68
-0.10857067,0.7935273,Ablancourt,172,7.16,4.74,8.84,5.98,3.47,8.66,7.48,9.26,4.44,3.17
-0.13662414,0.80243504,Ableiges,957,7.88,2.57,6.8,2.47,2.32,9.02,2.78,0.96,1.43,0.49
-0.13990808,0.7928248,Ablis,2705,26.24,7.16,9.71,3.62,1.26,0.39,7.56,5.37,4.86,6.28
-0.15458606,0.8109588,Ablon,1047,12.23,2.3,2.8,4.2,1.09,3.05,3.67,8.22,5.32,8.28
-0.13270539,0.795416,Ablon-sur-Seine,4867,,7.26,3.59,,0.5,2.72,3.83,6.5,0.4,8.32
-0.12083264,0.7351734,Aboën,234,8.94,5.61,0.16,7.44,7.51,8.96,4.32,0.79,0.26,3.96
-0.08703688,0.79892373,Aboncourt,346,5.89,8.81,6.13,2.62,5.34,3.15,8.37,3.03,6.24,1.47
-0.09301107,0.783665,Aboncourt,123,6.89,6.81,3.11,1.49,2.75,8.0,6.66,1.13,5.65,0.88
-0.093927555,0.77346194,Aboncourt-Gesincourt,204,10.69,0.97,3.16,2.42,2.84,9.95,1.76,2.75,3.37,1.95
-0.08792506,0.79120696,Aboncourt-sur-Seille,64,3.62,7.72,2.06,4.73,6.1,7.76,8.18,7.27,5.59,5.42
-0.08786947,0.74660546,Abondance,1294,58.84,7.55,7.24,1.72,4.56,3.07,3.26,1.56,0.95,9.74
-0.14356813,0.7982555,Abondant,1742,35.11,3.49,8.05,4.8,5.06,9.15,3.9,4.77,8.89,3.62
-0.1844847,0.7093519,Abos,481,8.55,1.77,8.17,3.99,8.37,8.47,3.6,9.95,0.95,9.39
-0.07956986,0.7872444,Abreschviller,1285,41.29,7.19,4.74,0.92,6.23,5.2,2.07,9.91,0.97,8.83
-0.1274842,0.7481705,Abrest,2428,10.32,2.76,5.55,4.55,2.98,9.24,1.64,4.62,8.49,4.78
-0.0878338,0.7205367,Abriès,354,77.78,3.61,6.52,6.28,5.1,1.76,6.93,9.62,0.26,7.79
-0.11867524,0.8217653,Abscon,4135,7.45,1.43,3.18,2.55,6.98,8.19,4.0,5.41,7.07,4.65
-0.17361028,0.7366793,Abzac,1599,13.38,0.13,0.9,3.59,1.39,1.78,9.12,1.7,3.88,0.88
-0.1602135,0.75346476,Abzac,544,33.54,3.89,0.17,6.91,6.24,2.56,0.18,0.95,5.62,0.76
-0.08801379,0.76796675,Accolans,79,5.18,9.57,0.4,6.05,5.03,0.76,8.6,3.46,5.81,2.19
-0.12057793,0.7747493,Accolay,433,9.3,2.4,8.5,8.87,6.98,9.43,0.77,9.27,4.88,2.37
-0.118908964,0.7256237,Accons,419,10.01,7.79,5.31,9.42,0.76,4.09,0.25,4.96,4.44,7.89
-0.18622234,0.7028826,Accous,434,60.9,1.38,7.74,0.07,1.1,8.31,6.08,0.83,0.26,6.07
-0.084845655,0.7925871,Achain,95,4.78,0.3,3.64,3.57,8.58,9.83,1.29,0.85,5.92,3.86
-0.07790232,0.794226,Achen,938,11.92,5.26,2.67,6.95,4.3,5.56,1.28,5.56,9.85,7.73
-0.07356711,0.78565073,Achenheim,2183,6.1,5.25,8.06,0.2,9.29,6.91,6.15,8.28,6.01,7.95
-0.13597596,0.80008405,Achères,18942,9.57,4.23,0.58,0.39,8.41,8.41,2.92,4.12,3.03,0.69
-0.13622858,0.7702996,Achères,354,13.0,9.07,6.47,9.76,2.97,8.49,3.23,7.16,8.46,9.19
-0.13196176,0.78867286,Achères-la-Forêt,1040,12.64,1.2,1.75,2.7,3.11,7.91,0.53,8.27,6.48,2.49
-0.11926619,0.81047875,Achery,540,6.91,5.14,9.31,2.66,9.71,6.45,1.54,9.48,2.44,2.39
-0.12782605,0.81846213,Acheux-en-Amiénois,514,7.23,1.39,0.38,0.65,2.66,5.97,3.28,0.38,5.41,0.72
-0.13725851,0.81983495,Acheux-en-Vimeu,503,,9.96,6.75,,7.98,0.53,7.01,5.64,6.95,0.46
-0.12313271,0.82327956,Acheville,457,3.18,7.77,1.16,4.94,2.34,8.36,9.99,0.86,2.53,7.73
-0.09864423,0.770495,Achey,55,7.01,1.9,5.78,7.83,5.27,9.35,8.79,5.42,6.49,6.86
-0.124794856,0.82158154,Achicourt,7695,5.9,2.74,7.12,8.76,5.99,8.47,3.72,2.02,2.37,1.25
-0.12487546,0.8190601,Achiet-le-Grand,1016,,8.02,5.77,,8.72,7.53,3.04,3.09,8.84,7.23
-0.1252475,0.8190031,Achiet-le-Petit,328,7.42,7.81,4.83,1.55,5.85,2.01,5.33,2.44,7.02,2.18
-0.12222896,0.7655253,Achun,170,,5.46,2.25,,3.35,4.49,7.38,2.21,4.61,5.89
-0.13532884,0.81057686,Achy,288,12.89,7.62,2.01,6.6,6.79,3.74,9.4,4.58,0.06,0.18
-0.17948596,0.79338664,Acigné,5246,30.16,6.6,2.38,7.16,5.1,3.67,0.3,1.48,3.91,8.84
-0.1507286,0.8062765,Aclou,222,3.75,6.64,1.75,2.51,8.73,1.38,2.46,1.93,7.85,5.18
-0.14746918,0.798535,Acon,407,9.27,5.22,2.77,9.89,0.81,8.8,4.01,7.67,9.86,5.42
-0.12572254,0.8230559,Acq,502,4.85,3.32,4.87,2.18,8.71,6.08,3.37,9.62,3.93,0.77
-0.17648175,0.81920075,Acqueville,650,5.77,9.03,2.12,0.78,8.46,2.74,8.64,2.03,5.55,1.73
-0.16337293,0.8051396,Acqueville,178,6.74,1.57,0.15,1.74,1.73,8.16,7.52,2.28,4.5,0.86
-0.14543192,0.80538315,Acquigny,1438,17.95,3.86,1.09,2.66,0.48,2.91,6.51,0.82,6.85,6.47
-0.13088012,0.8305787,Acquin-Westbécourt,625,14.65,0.51,8.38,6.27,7.08,6.64,1.54,1.81,8.12,4.99
-0.119887054,0.8044306,Acy,951,11.63,2.43,2.96,4.63,9.61,1.52,9.73,7.86,4.54,1.03
-0.12562902,0.80097985,Acy-en-Multien,752,11.42,4.11,1.14,2.97,0.49,5.79,0.62,8.62,2.51,5.76
-0.1091322,0.8057457,Acy-Romance,443,11.06,1.52,4.24,3.24,7.34,9.87,3.46,4.43,0.8,7.89
-0.08644309,0.7943702,Adaincourt,107,3.41,3.48,5.82,6.1,3.53,7.46,7.53,8.2,5.05,7.84
-0.14137591,0.7967241,Adainville,824,10.21,9.08,3.69,0.67,0.72,9.03,8.34,0.08,0.9,1.23
-0.09036556,0.7647326,Adam-lès-Passavant,77,9.52,5.41,7.49,5.94,8.88,5.59,9.52,7.42,5.79,5.52
-0.09023636,0.7624436,Adam-lès-Vercel,67,3.09,5.59,4.71,6.39,1.28,8.48,7.52,7.5,9.59,2.26
-0.077928334,0.79177684,Adamswiller,459,3.31,3.86,8.16,3.78,4.46,7.48,0.75,3.47,4.84,0.31
-0.17968157,0.70158607,Adast,227,1.07,1.01,7.35,9.52,1.15,4.7,8.0,5.33,2.39,2.32
-0.17854524,0.70423734,Adé,674,,3.75,9.08,,6.46,4.17,0.1,5.66,1.77,5.65
-0.08446426,0.79418164,Adelange,208,5.9,3.48,6.81,5.76,7.54,8.4,7.01,6.99,2.67,9.43
-0.08918656,0.7718659,Adelans-et-le-Val-de-Bithaine,251,17.29,4.44,2.86,1.03,9.08,7.97,3.63,2.14,9.18,6.68
-0.17411198,0.6978138,Adervielle-Pouchergues,80,,0.14,9.1,,3.14,4.44,3.24,8.57,0.04,8.12
-0.17030124,0.76580775,Adilly,284,12.97,0.5,5.46,2.37,5.83,1.89,2.6,1.41,3.86,8.22
-0.12557846,0.8202687,Adinfer,212,6.37,8.59,6.14,4.28,6.17,2.42,6.9,1.92,1.36,3.08
-0.13398394,0.70391273,Adissan,736,4.49,6.44,3.87,6.67,8.88,1.1,2.46,7.14,0.91,3.22
-0.1309113,0.7780739,Adon,198,,9.6,5.25,,0.42,3.45,3.02,0.19,3.66,3.37
-0.15861481,0.75593,Adriers,797,68.12,9.6,5.72,2.21,6.97,7.65,8.9,9.56,3.33,3.98
-0.068098836,0.6698526,Afa,2055,12.01,8.71,9.54,9.94,5.66,9.55,1.87,6.13,5.93,2.34
-0.14921595,0.74124503,Affieux,349,,5.39,8.61,,3.32,2.84,2.16,0.32,7.38,9.34
-0.09358863,0.7997883,Affléville,196,9.64,7.82,6.88,8.08,8.0,0.73,8.78,0.43,7.19,0.27
-0.11655521,0.7421962,Affoux,248,10.7,3.2,5.49,4.36,5.28,3.52,3.54,6.43,6.01,2.3
-0.09047021,0.7852235,Affracourt,114,5.65,1.04,7.47,1.41,6.04,3.11,3.81,6.24,8.67,3.0
-0.13112544,0.8299383,Affringues,203,2.97,8.88,4.2,1.91,4.92,7.99,1.56,4.59,8.0,4.32
-0.16630419,0.7061721,Agassac,121,9.62,8.32,9.45,2.4,1.8,4.2,5.15,8.37,3.27,9.83
-0.13399355,0.7000225,Agde,19988,51.14,6.2,7.01,1.03,6.12,9.09,2.87,8.55,5.89,8.77
-0.14172761,0.70157945,Agel,167,,3.62,6.33,,6.66,9.47,3.1,2.12,8.31,4.01
-0.16705999,0.72110826,Agen,30170,11.37,7.47,4.01,8.92,2.14,9.51,0.43,1.82,2.67,7.15
-0.1412136,0.7194486,Agen-d'Aveyron,1012,,5.41,0.5,,3.41,2.06,7.5,9.38,1.08,4.2
-0.10693048,0.7635971,Agencourt,422,,3.49,2.71,,5.92,1.48,4.03,3.62,4.95,6.88
-0.13232672,0.8208345,Agenville,91,,9.14,7.59,,6.61,5.19,6.49,3.23,4.44,8.42
-0.13425782,0.82137793,Agenvillers,181,5.97,6.27,8.07,9.66,7.36,1.09,9.76,0.87,6.55,7.82
-0.10052273,0.780127,Ageville,292,19.69,6.03,1.69,3.43,4.05,5.19,8.13,9.04,6.37,3.22
-0.10914572,0.76662403,Agey,258,8.43,7.94,0.25,5.24,4.52,4.8,1.2,5.52,1.06,1.88
-0.06016825,0.67152554,Aghione,245,33.98,8.65,0.9,6.45,4.08,0.67,4.27,5.25,8.26,8.03
-0.089252144,0.789863,Agincourt,399,4.29,4.61,1.97,1.18,9.89,9.69,9.2,0.26,0.43,5.47
-0.16953358,0.7265842,Agmé,102,5.04,0.09,4.91,7.34,2.7,9.32,4.92,0.43,2.6,8.24
-0.16874336,0.72934926,Agnac,388,13.94,2.1,1.37,7.5,8.54,7.44,4.7,5.94,6.87,8.9
-0.12930183,0.7350921,Agnat,209,19.73,1.3,1.5,1.7,6.7,6.68,3.78,1.67,8.6,8.14
-0.17120838,0.8092598,Agneaux,4476,6.55,4.12,0.34,6.95,7.24,0.28,6.83,1.58,6.22,6.72
-0.13127773,0.80678046,Agnetz,2637,13.23,6.9,7.42,5.74,9.22,6.77,6.1,3.75,9.08,5.36
-0.12579237,0.82235307,Agnez-lès-Duisans,650,7.38,2.66,2.2,8.53,0.16,8.69,6.81,0.58,4.31,0.72
-0.112937294,0.8100472,Agnicourt-et-Séchelles,211,,2.67,8.74,,8.87,7.91,8.38,9.49,9.87,7.53
-0.12625577,0.82326055,Agnières,150,3.3,0.45,8.39,2.06,7.96,3.99,2.18,8.03,1.33,3.06
-0.100919686,0.7200973,Agnières-en-Dévoluy,212,32.24,0.29,0.02,1.09,4.57,4.61,5.64,0.41,2.25,5.18
-0.112174526,0.7327875,Agnin,789,8.02,1.42,4.61,2.12,4.51,4.67,8.63,2.26,5.15,4.19
-0.18584464,0.7061716,Agnos,751,9.18,9.34,7.61,7.87,5.76,7.0,4.55,4.9,5.42,2.89
-0.124828905,0.8213358,Agny,1954,6.1,8.61,1.57,7.6,6.38,1.66,4.79,4.52,4.43,1.32
-0.17663497,0.8090654,Agon-Coutainville,2723,12.58,0.76,8.99,5.3,4.42,6.67,7.44,0.81,4.86,2.79
-0.1621407,0.7394355,Agonac,1451,,2.77,6.64,,5.24,2.11,7.35,4.76,1.48,3.95
-0.12935366,0.70949626,Agonès,179,4.1,7.64,1.56,4.11,8.64,8.09,5.02,3.77,3.75,0.82
-0.12963378,0.7574052,Agonges,357,24.25,8.41,5.94,9.89,3.14,7.1,3.76,3.48,8.15,2.9
-0.17940849,0.7026799,Agos-Vidalos,290,6.25,5.76,4.49,0.27,2.53,6.13,9.74,0.65,4.16,5.07
-0.16561517,0.7486721,Agris,710,18.71,0.79,9.86,2.98,9.88,0.25,1.03,5.62,1.35,4.53
-0.17658424,0.74380034,Agudelle,126,5.39,7.38,5.2,0.09,9.41,9.46,3.6,3.35,8.87,2.71
-0.1365487,0.7152077,Aguessac,833,17.79,1.99,0.34,4.7,2.42,5.09,1.22,6.55,6.1,7.16
-0.11351399,0.80462295,Aguilcourt,359,10.57,3.11,0.72,4.16,1.01,5.19,8.64,0.84,8.02,9.24
-0.152945,0.70669466,Aguts,187,9.86,3.73,7.83,3.49,5.2,4.25,1.55,1.08,6.81,9.77
-0.16690074,0.8105927,Agy,280,4.26,4.43,9.9,5.81,7.87,9.74,9.64,9.02,1.0,4.66
-0.19272101,0.70732456,Ahaxe-Alciette-Bascassan,320,14.56,1.38,9.53,7.88,1.71,8.31,7.91,4.25,6.33,9.37
-0.19688278,0.712717,Ahetze,1318,10.75,1.94,0.72,8.77,9.97,3.31,7.29,6.62,8.2,2.37
-0.09050724,0.7820985,Ahéville,67,5.87,0.81,2.42,8.04,0.79,4.02,5.86,3.27,2.15,2.15
-0.17228498,0.78988063,Ahuillé,1379,30.61,9.76,8.4,9.36,8.61,3.5,4.82,3.88,3.6,4.28
-0.14424732,0.7504677,Ahun,1501,34.02,9.32,0.51,2.63,3.08,9.06,0.66,6.66,3.09,5.13
-0.1059395,0.76772034,Ahuy,1356,6.5,1.06,2.07,2.09,9.29,0.48,9.45,2.29,2.9,2.06
-0.110177144,0.81887466,Aibes,385,9.26,4.8,1.3,0.09,8.76,8.23,3.64,0.3,5.87,8.71
-0.08600589,0.76872015,Aibre,455,4.46,8.34,1.53,0.28,0.05,3.14,6.84,2.65,5.22,9.87
-0.19027665,0.71019447,Aïcirits-Camou-Suhast,559,9.56,6.08,5.72,1.12,4.95,6.78,2.18,8.04,5.07,1.26
-0.17290345,0.75911707,Aiffres,4598,25.95,8.24,6.18,0.98,0.78,5.59,8.84,8.5,2.1,1.7
-0.12156811,0.7114312,Aigaliers,386,27.96,3.74,8.48,6.19,2.17,4.39,2.63,0.91,3.69,8.64
-0.10374099,0.8100287,Aiglemont,1733,8.87,3.56,5.11,2.84,1.33,5.25,7.92,7.62,1.81,6.88
-0.09742836,0.7593856,Aiglepierre,342,7.11,3.07,8.74,1.88,5.73,7.19,0.56,7.68,7.0,2.54
-0.14316155,0.8020834,Aigleville,248,3.22,8.13,7.92,8.58,7.92,8.12,7.72,1.31,0.86,1.36
-0.08950365,0.7043011,Aiglun,106,15.45,6.66,4.63,8.38,2.42,4.88,9.87,9.85,1.72,6.17
-0.099004455,0.7088669,Aiglun,1038,14.58,8.79,4.17,5.12,1.56,4.02,2.69,2.63,9.36,9.25
-0.17533863,0.7135948,Aignan,842,32.27,2.94,2.75,1.04,2.47,4.1,7.05,7.76,7.5,5.99
-0.10867871,0.77327466,Aignay-le-Duc,402,24.69,5.9,5.35,1.21,1.22,3.7,4.17,4.92,9.19,2.05
-0.14244145,0.70158917,Aigne,234,11.15,1.05,3.35,0.86,7.01,5.02,4.8,6.46,0.48,9.82
-0.16083531,0.78848857,Aigné,1349,12.78,2.75,4.25,7.35,0.11,6.28,4.25,9.23,5.82,6.96
-0.16836457,0.8123349,Aignerville,138,4.56,3.02,1.17,3.54,9.55,9.16,1.12,5.73,7.54,0.57
-0.15766597,0.7037838,Aignes,193,22.11,9.68,8.35,5.62,9.84,3.43,3.63,5.75,5.11,2.26
-0.16895881,0.7434969,Aignes-et-Puypéroux,269,13.04,8.61,7.57,5.8,8.65,6.06,3.36,0.13,7.14,2.44
-0.1379875,0.81942356,Aigneville,658,10.72,6.79,6.36,5.6,7.2,8.66,7.12,0.74,6.35,1.56
-0.11164587,0.7978238,Aigny,189,10.98,4.79,6.12,5.28,9.0,6.26,5.89,7.89,7.16,4.59
-0.17091434,0.7594832,Aigonnay,449,14.31,4.24,8.61,6.91,0.06,9.29,5.42,3.23,7.35,3.44
-0.16909404,0.751429,Aigre,1141,6.55,0.03,0.14,8.94,4.81,2.66,4.86,4.0,7.21,8.54
-0.1569358,0.7080439,Aigrefeuille,577,4.68,0.98,9.37,2.94,3.88,9.55,3.97,0.32,4.2,1.73
-0.17960124,0.7574275,Aigrefeuille-d'Aunis,3151,17.17,2.36,0.24,7.55,2.23,1.21,7.37,2.64,5.07,8.24
-0.1816847,0.77496,Aigrefeuille-sur-Maine,2151,14.72,1.14,6.16,1.37,9.65,3.8,2.04,6.63,7.43,8.02
-0.13672906,0.7991414,Aigremont,873,3.01,4.52,3.44,0.9,9.37,0.63,9.52,1.83,3.15,9.31
-0.12427221,0.71015614,Aigremont,449,12.59,1.64,2.99,2.92,3.29,4.8,7.8,2.72,8.82,6.1
-0.11835511,0.7754795,Aigremont,75,6.8,6.85,5.78,6.09,7.07,7.25,8.62,1.79,4.02,4.18
-0.09653309,0.77803016,Aigremont,18,4.88,7.04,9.91,0.75,8.38,9.37,9.67,2.71,0.62,2.34
-0.10014563,0.73485494,Aiguebelette-le-Lac,191,7.8,4.96,9.1,2.17,6.68,7.83,5.77,9.86,0.74,4.29
-0.094175585,0.7342727,Aiguebelle,901,3.97,3.8,9.21,7.59,7.06,8.82,4.21,4.05,5.33,4.21
-0.091798075,0.7333188,Aigueblanche,2664,19.58,0.82,4.86,4.12,1.49,8.96,0.02,0.23,9.18,0.64
-0.14805394,0.70530987,Aiguefonde,2631,19.2,9.85,4.72,2.99,4.06,7.0,6.54,8.89,5.93,7.09
-0.13057403,0.74727064,Aigueperse,2504,10.48,9.36,8.1,0.55,2.0,2.83,4.14,5.76,5.62,2.86
-0.11523133,0.74966824,Aigueperse,232,12.98,5.18,8.3,6.35,6.07,3.51,1.81,3.4,8.97,8.04
-0.15990324,0.6994995,Aigues-Juntes,49,7.73,7.89,5.17,0.41,0.29,1.31,1.75,1.71,6.95,7.95
-0.12429335,0.70314246,Aigues-Mortes,6012,,9.74,8.56,,0.29,5.67,9.46,8.3,4.49,8.41
-0.12405585,0.7061014,Aigues-Vives,2331,12.06,8.77,0.63,9.84,1.12,1.33,0.51,8.7,9.83,7.56
-0.14601672,0.7003595,Aigues-Vives,481,10.56,8.91,8.02,4.17,3.77,2.36,7.84,8.3,8.01,3.25
-0.14215499,0.7016388,Aigues-Vives,354,12.79,4.91,1.17,7.82,4.73,2.3,8.14,0.67,1.53,1.45
-0.15494525,0.6976578,Aigues-Vives,485,5.23,5.51,7.87,6.7,3.52,7.76,4.08,5.69,8.9,8.42
-0.11812214,0.71527356,Aiguèze,204,20.08,9.21,5.15,7.68,2.09,3.28,5.02,6.62,6.87,2.25
-0.12469729,0.7292503,Aiguilhe,1555,1.26,4.42,3.81,6.86,3.71,7.74,1.38,5.41,0.07,5.56
-0.088570364,0.7203928,Aiguilles,441,40.68,4.02,9.76,1.63,4.52,8.44,1.32,9.66,8.65,7.88
-0.17024489,0.723318,Aiguillon,4219,28.38,2.53,8.14,0.33,7.99,6.74,4.67,1.49,6.43,4.53
-0.09812553,0.7037249,Aiguines,219,,8.82,2.41,,4.08,8.34,1.05,2.91,3.35,0.46
-0.14588618,0.7568955,Aigurande,1668,28.03,5.46,8.19,3.85,8.11,3.95,1.02,2.71,5.24,4.81
-0.120118245,0.7207095,Ailhon,336,7.92,3.64,0.8,6.25,6.02,6.09,0.97,4.41,0.03,9.58
-0.12928338,0.77834606,Aillant-sur-Milleron,357,27.23,3.65,2.12,0.82,0.46,7.33,0.25,2.87,5.63,3.02
-0.12421699,0.77905035,Aillant-sur-Tholon,1454,18.25,5.59,2.31,7.56,9.71,4.23,4.49,6.98,7.71,7.58
-0.17474067,0.72722363,Aillas,668,35.03,4.34,4.3,9.09,0.23,0.07,3.92,0.32,5.52,8.6
-0.12223946,0.74219286,Ailleux,143,9.34,5.33,2.05,5.18,5.58,2.06,8.17,3.35,0.22,2.51
-0.089208804,0.76978225,Aillevans,122,5.8,6.43,6.99,4.75,9.16,8.88,9.83,6.58,9.57,3.35
-0.1080181,0.78353786,Ailleville,218,4.93,3.04,2.98,3.23,6.01,2.69,9.3,2.73,9.05,3.84
-0.089582644,0.7755855,Aillevillers-et-Lyaumont,1849,36.78,6.36,2.97,0.88,6.09,4.22,4.69,2.05,0.4,9.27
-0.098650955,0.78399295,Aillianville,185,23.81,9.79,4.09,9.55,5.99,2.35,7.88,0.86,9.16,9.22
-0.15733849,0.79396033,Aillières-Beauvoir,237,15.13,4.89,1.87,2.82,7.7,5.26,0.37,3.92,0.44,3.21
-0.096752375,0.73588353,Aillon-le-Jeune,337,,7.53,7.46,,8.49,8.99,6.88,7.06,2.76,2.1
-0.096522465,0.73644453,Aillon-le-Vieux,169,21.44,1.1,6.31,9.55,6.3,2.14,6.48,4.12,5.76,2.86
-0.089245304,0.7726682,Ailloncourt,224,,7.27,4.55,,9.34,7.31,4.86,7.93,0.26,7.3
-0.14465305,0.8050466,Ailly,775,15.67,6.29,3.84,3.02,8.39,9.35,6.75,6.7,4.25,6.37
-0.13369338,0.8195368,Ailly-le-Haut-Clocher,831,10.86,4.7,9.96,6.74,0.07,9.55,2.82,2.1,3.69,1.01
-0.13052131,0.8133184,Ailly-sur-Noye,2643,25.45,3.39,1.06,1.99,4.47,2.43,9.32,1.55,7.7,10.0
-0.13188504,0.81653255,Ailly-sur-Somme,3322,15.26,4.31,2.47,4.53,5.52,5.62,6.83,0.87,7.81,2.36
-0.12381935,0.70515317,Aimargues,3442,26.52,4.76,8.92,2.07,7.32,9.37,2.59,0.14,7.23,7.48
-0.08995048,0.7341243,Aime,3229,50.69,0.46,7.93,0.34,5.12,8.99,5.99,1.25,1.43,9.19
-0.13486862,0.76005524,Ainay-le-Château,1165,24.3,8.04,5.46,0.82,4.58,3.27,1.16,1.2,7.85,0.58
-0.13667677,0.7595657,Ainay-le-Vieil,198,,3.43,8.88,,3.4,4.85,6.78,2.67,9.35,7.01
-0.19312477,0.707299,Aincille,103,6.27,6.35,9.09,4.24,8.99,3.67,6.91,8.65,8.85,7.43
-0.13901578,0.8025395,Aincourt,657,10.09,9.94,7.4,9.76,3.13,7.65,3.79,6.2,2.48,7.73
-0.10063247,0.80234,Aincreville,84,9.2,9.17,5.65,4.72,3.61,3.36,1.93,1.19,8.71,6.83
-0.09187893,0.7902433,Aingeray,638,12.92,6.41,9.76,3.66,6.65,4.36,8.19,8.35,0.6,6.57
-0.09556913,0.78124934,Aingeville,68,,6.01,9.66,,2.99,1.01,9.58,4.97,6.51,0.58
-0.10062718,0.7862381,Aingoulaincourt,10,5.13,8.45,3.84,4.84,4.3,6.25,6.11,0.03,6.17,1.64
-0.18939099,0.708595,Ainharp,142,14.36,4.61,2.35,5.2,2.25,8.08,1.35,0.26,3.22,1.77
-0.19240467,0.70823157,Ainhice-Mongelos,175,10.25,5.63,3.91,0.77,5.98,7.98,2.76,8.23,6.59,0.77
-0.19633193,0.71085256,Ainhoa,599,,3.96,5.26,,9.48,4.63,1.01,5.72,9.14,4.32
-0.09067489,0.7744181,Ainvelle,219,6.81,7.76,7.97,2.46,3.33,3.81,9.01,5.62,9.8,1.85
-0.09527725,0.77755415,Ainvelle,148,9.1,3.7,8.59,1.34,5.09,5.65,4.9,2.59,5.89,2.96
-0.13460307,0.8176293,Airaines,2099,24.99,3.65,1.42,4.97,4.7,3.66,4.21,5.82,9.46,5.15
-0.16049919,0.8068594,Airan,692,13.41,7.41,7.12,5.58,5.61,8.45,2.02,0.53,9.8,0.75
