Winner, Standing, Pole, Fatest_lap, City, Overtaking, Lap_nb
Raiducknen, ['Raiducknen', 'Duckmilton', 'Prostduck', 'Schumaduck', 'Duckberg', 'Verstaduck', 'Ayrduck', 'Alonsduck', 'Buckton', 'Ducktel'], Ayrduck, 56, Madrid, 48, 17
Ducktel, ['Ducktel', 'Duckmilton', 'Schumaduck', 'Duckberg', 'Raiducknen', 'Verstaduck', 'Alonsduck', 'Buckton', 'Ayrduck', 'Prostduck'], Ducktel, 51, Rome, 45, 14
Duckmilton, ['Duckmilton', 'Ducktel', 'Verstaduck', 'Prostduck', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Schumaduck', 'Buckton', 'Ayrduck'], Verstaduck, 52, Rio, 46, 16
Raiducknen, ['Raiducknen', 'Schumaduck', 'Duckmilton', 'Alonsduck', 'Ducktel', 'Prostduck', 'Verstaduck', 'Duckberg', 'Ayrduck', 'Buckton'], Prostduck, 60, Pekin, 46, 15
Prostduck, ['Prostduck', 'Schumaduck', 'Duckmilton', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Duckberg', 'Buckton', 'Raiducknen', 'Ayrduck'], Duckmilton, 56, Berlin, 46, 11
Duckberg, ['Duckberg', 'Duckmilton', 'Prostduck', 'Raiducknen', 'Verstaduck', 'Alonsduck', 'Ayrduck', 'Buckton', 'Ducktel', 'Schumaduck'], Duckmilton, 56, Berne, 45, 19
Duckmilton, ['Duckmilton', 'Duckberg', 'Ducktel', 'Raiducknen', 'Prostduck', 'Verstaduck', 'Schumaduck', 'Buckton', 'Alonsduck', 'Ayrduck'], Duckberg, 60, New York, 47, 19
Duckmilton, ['Duckmilton', 'Schumaduck', 'Alonsduck', 'Ducktel', 'Prostduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Verstaduck', 'Ayrduck'], Duckberg, 50, Berne, 46, 13
Schumaduck, ['Schumaduck', 'Duckmilton', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Prostduck', 'Ayrduck', 'Verstaduck', 'Ducktel', 'Buckton'], Duckmilton, 52, Singapour, 40, 15
Ducktel, ['Ducktel', 'Duckmilton', 'Verstaduck', 'Alonsduck', 'Duckberg', 'Schumaduck', 'Buckton', 'Prostduck', 'Ayrduck', 'Raiducknen'], Schumaduck, 53, Berlin, 44, 13
Duckmilton, ['Duckmilton', 'Ducktel', 'Verstaduck', 'Raiducknen', 'Buckton', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Prostduck', 'Ayrduck'], Prostduck, 60, Paris, 44, 16
Prostduck, ['Prostduck', 'Duckmilton', 'Alonsduck', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Buckton', 'Ducktel', 'Ayrduck'], Duckmilton, 56, Berlin, 40, 20
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Schumaduck', 'Prostduck', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Ayrduck'], Ducktel, 51, Madrid, 44, 19
Duckmilton, ['Duckmilton', 'Ayrduck', 'Verstaduck', 'Prostduck', 'Alonsduck', 'Ducktel', 'Raiducknen', 'Schumaduck', 'Duckberg', 'Buckton'], Ayrduck, 56, New York, 50, 17
Duckmilton, ['Duckmilton', 'Prostduck', 'Schumaduck', 'Duckberg', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Ayrduck', 'Raiducknen', 'Buckton'], Buckton, 53, Londres, 44, 16
Schumaduck, ['Schumaduck', 'Duckmilton', 'Verstaduck', 'Ayrduck', 'Prostduck', 'Alonsduck', 'Raiducknen', 'Buckton', 'Ducktel', 'Duckberg'], Buckton, 59, Rio, 48, 19
Verstaduck, ['Verstaduck', 'Ducktel', 'Ayrduck', 'Duckmilton', 'Prostduck', 'Alonsduck', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Buckton'], Schumaduck, 57, Berne, 41, 19
Duckmilton, ['Duckmilton', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Verstaduck', 'Ducktel', 'Prostduck', 'Alonsduck', 'Ayrduck', 'Buckton'], Buckton, 59, Berlin, 50, 19
Duckmilton, ['Duckmilton', 'Ayrduck', 'Verstaduck', 'Schumaduck', 'Ducktel', 'Prostduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Alonsduck'], Ayrduck, 53, Pekin, 43, 13
Verstaduck, ['Verstaduck', 'Schumaduck', 'Raiducknen', 'Duckmilton', 'Alonsduck', 'Duckberg', 'Buckton', 'Ayrduck', 'Ducktel', 'Prostduck'], Prostduck, 53, Pekin, 44, 20
Duckmilton, ['Duckmilton', 'Ducktel', 'Schumaduck', 'Verstaduck', 'Prostduck', 'Duckberg', 'Alonsduck', 'Ayrduck', 'Raiducknen', 'Buckton'], Duckmilton, 54, Tokyo, 40, 11
Duckberg, ['Duckberg', 'Duckmilton', 'Raiducknen', 'Alonsduck', 'Verstaduck', 'Ducktel', 'Buckton', 'Prostduck', 'Schumaduck', 'Ayrduck'], Duckmilton, 57, Rio, 41, 12
Duckberg, ['Duckberg', 'Ducktel', 'Duckmilton', 'Raiducknen', 'Alonsduck', 'Schumaduck', 'Prostduck', 'Buckton', 'Verstaduck', 'Ayrduck'], Duckmilton, 52, Singapour, 47, 20
Prostduck, ['Prostduck', 'Duckmilton', 'Ducktel', 'Ayrduck', 'Duckberg', 'Verstaduck', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Buckton'], Raiducknen, 56, Pekin, 43, 20
Duckmilton, ['Duckmilton', 'Schumaduck', 'Alonsduck', 'Prostduck', 'Ducktel', 'Raiducknen', 'Duckberg', 'Verstaduck', 'Buckton', 'Ayrduck'], Duckberg, 50, Rome, 44, 19
Prostduck, ['Prostduck', 'Duckmilton', 'Verstaduck', 'Buckton', 'Schumaduck', 'Alonsduck', 'Ducktel', 'Duckberg', 'Raiducknen', 'Ayrduck'], Duckberg, 50, Rome, 45, 15
Duckmilton, ['Duckmilton', 'Schumaduck', 'Ducktel', 'Raiducknen', 'Ayrduck', 'Verstaduck', 'Alonsduck', 'Prostduck', 'Buckton', 'Duckberg'], Duckberg, 59, Paris, 46, 10
Duckmilton, ['Duckmilton', 'Duckberg', 'Alonsduck', 'Ducktel', 'Raiducknen', 'Prostduck', 'Schumaduck', 'Ayrduck', 'Verstaduck', 'Buckton'], Duckmilton, 50, Berlin, 41, 17
Ayrduck, ['Ayrduck', 'Duckmilton', 'Schumaduck', 'Ducktel', 'Duckberg', 'Buckton', 'Prostduck', 'Raiducknen', 'Alonsduck', 'Verstaduck'], Prostduck, 58, Berne, 40, 14
Duckmilton, ['Duckmilton', 'Alonsduck', 'Schumaduck', 'Buckton', 'Verstaduck', 'Ducktel', 'Duckberg', 'Raiducknen', 'Prostduck', 'Ayrduck'], Duckberg, 52, Tokyo, 48, 16
Verstaduck, ['Verstaduck', 'Duckberg', 'Duckmilton', 'Schumaduck', 'Alonsduck', 'Ayrduck', 'Raiducknen', 'Ducktel', 'Prostduck', 'Buckton'], Duckmilton, 56, Moscou, 40, 16
Schumaduck, ['Schumaduck', 'Ducktel', 'Duckmilton', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Duckberg', 'Buckton', 'Ayrduck', 'Prostduck'], Ducktel, 56, Tokyo, 47, 11
Duckmilton, ['Duckmilton', 'Duckberg', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Buckton', 'Alonsduck', 'Raiducknen', 'Ducktel', 'Ayrduck'], Buckton, 57, Londres, 43, 19
Duckmilton, ['Duckmilton', 'Alonsduck', 'Verstaduck', 'Ducktel', 'Raiducknen', 'Schumaduck', 'Duckberg', 'Ayrduck', 'Buckton', 'Prostduck'], Duckberg, 58, New York, 47, 20
Verstaduck, ['Verstaduck', 'Duckmilton', 'Duckberg', 'Buckton', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Ducktel', 'Schumaduck', 'Ayrduck'], Prostduck, 50, Paris, 44, 20
Duckmilton, ['Duckmilton', 'Prostduck', 'Duckberg', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Verstaduck', 'Raiducknen', 'Buckton', 'Ayrduck'], Duckmilton, 56, Londres, 50, 19
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Ducktel', 'Duckberg', 'Buckton', 'Raiducknen', 'Alonsduck', 'Ayrduck'], Ducktel, 59, Londres, 49, 11
Duckmilton, ['Duckmilton', 'Ducktel', 'Schumaduck', 'Verstaduck', 'Duckberg', 'Alonsduck', 'Buckton', 'Raiducknen', 'Prostduck', 'Ayrduck'], Duckberg, 55, Paris, 47, 12
Raiducknen, ['Raiducknen', 'Ducktel', 'Duckmilton', 'Verstaduck', 'Prostduck', 'Alonsduck', 'Buckton', 'Ayrduck', 'Duckberg', 'Schumaduck'], Buckton, 51, Paris, 47, 12
Schumaduck, ['Schumaduck', 'Duckmilton', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Duckberg', 'Buckton', 'Ducktel', 'Raiducknen', 'Prostduck'], Alonsduck, 56, Madrid, 43, 10
Verstaduck, ['Verstaduck', 'Duckmilton', 'Ducktel', 'Prostduck', 'Alonsduck', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Ayrduck', 'Buckton'], Prostduck, 50, Londres, 42, 16
Alonsduck, ['Alonsduck', 'Verstaduck', 'Duckmilton', 'Prostduck', 'Ayrduck', 'Ducktel', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Buckton'], Ayrduck, 50, Tokyo, 49, 10
Raiducknen, ['Raiducknen', 'Duckmilton', 'Alonsduck', 'Buckton', 'Ducktel', 'Prostduck', 'Ayrduck', 'Duckberg', 'Verstaduck', 'Schumaduck'], Ayrduck, 52, New York, 45, 16
Duckmilton, ['Duckmilton', 'Ayrduck', 'Schumaduck', 'Duckberg', 'Raiducknen', 'Alonsduck', 'Verstaduck', 'Prostduck', 'Ducktel', 'Buckton'], Buckton, 50, Moscou, 49, 18
Verstaduck, ['Verstaduck', 'Prostduck', 'Duckmilton', 'Schumaduck', 'Buckton', 'Ducktel', 'Ayrduck', 'Alonsduck', 'Duckberg', 'Raiducknen'], Ducktel, 59, Madrid, 48, 17
Duckberg, ['Duckberg', 'Ayrduck', 'Raiducknen', 'Verstaduck', 'Duckmilton', 'Ducktel', 'Schumaduck', 'Prostduck', 'Alonsduck', 'Buckton'], Schumaduck, 51, Madrid, 45, 15
Ducktel, ['Ducktel', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Duckmilton', 'Buckton', 'Raiducknen', 'Verstaduck', 'Prostduck', 'Ayrduck'], Duckberg, 58, Moscou, 45, 13
Duckmilton, ['Duckmilton', 'Raiducknen', 'Ducktel', 'Alonsduck', 'Verstaduck', 'Prostduck', 'Duckberg', 'Buckton', 'Schumaduck', 'Ayrduck'], Duckberg, 51, Moscou, 43, 17
Verstaduck, ['Verstaduck', 'Duckmilton', 'Duckberg', 'Alonsduck', 'Prostduck', 'Raiducknen', 'Schumaduck', 'Buckton', 'Ducktel', 'Ayrduck'], Buckton, 60, Londres, 46, 13
Duckmilton, ['Duckmilton', 'Duckberg', 'Prostduck', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Buckton', 'Raiducknen', 'Ducktel', 'Ayrduck'], Duckberg, 58, Rio, 43, 19
Duckmilton, ['Duckmilton', 'Duckberg', 'Ayrduck', 'Prostduck', 'Ducktel', 'Verstaduck', 'Buckton', 'Raiducknen', 'Schumaduck', 'Alonsduck'], Schumaduck, 55, Paris, 40, 15
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Alonsduck', 'Prostduck', 'Duckberg', 'Buckton', 'Ducktel', 'Raiducknen', 'Ayrduck'], Ayrduck, 51, Rio, 42, 12
Ducktel, ['Ducktel', 'Verstaduck', 'Duckmilton', 'Schumaduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Prostduck', 'Ayrduck', 'Alonsduck'], Verstaduck, 52, New York, 47, 13
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Prostduck', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Ayrduck', 'Buckton', 'Duckberg'], Raiducknen, 60, Rio, 41, 20
Duckmilton, ['Duckmilton', 'Duckberg', 'Schumaduck', 'Ayrduck', 'Alonsduck', 'Verstaduck', 'Prostduck', 'Buckton', 'Ducktel', 'Raiducknen'], Buckton, 55, Tokyo, 49, 18
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Ayrduck', 'Raiducknen', 'Duckberg', 'Alonsduck', 'Prostduck', 'Buckton'], Duckberg, 50, New York, 43, 12
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Duckberg', 'Raiducknen', 'Ducktel', 'Alonsduck', 'Buckton', 'Prostduck', 'Ayrduck'], Raiducknen, 57, Moscou, 44, 17
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Prostduck', 'Verstaduck', 'Duckberg', 'Alonsduck', 'Ducktel', 'Buckton', 'Ayrduck'], Raiducknen, 50, Paris, 43, 12
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Raiducknen', 'Ducktel', 'Buckton', 'Duckberg', 'Schumaduck', 'Ayrduck', 'Prostduck'], Buckton, 54, Rome, 41, 12
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Raiducknen', 'Buckton', 'Alonsduck', 'Prostduck', 'Duckberg', 'Ayrduck'], Ayrduck, 55, Moscou, 43, 12
Alonsduck, ['Alonsduck', 'Duckmilton', 'Duckberg', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Ducktel', 'Buckton', 'Prostduck', 'Ayrduck'], Alonsduck, 59, Londres, 45, 17
Duckmilton, ['Duckmilton', 'Alonsduck', 'Buckton', 'Duckberg', 'Prostduck', 'Ducktel', 'Schumaduck', 'Raiducknen', 'Verstaduck', 'Ayrduck'], Schumaduck, 51, Madrid, 40, 14
Duckberg, ['Duckberg', 'Prostduck', 'Duckmilton', 'Ducktel', 'Verstaduck', 'Raiducknen', 'Schumaduck', 'Ayrduck', 'Alonsduck', 'Buckton'], Duckberg, 54, Tokyo, 48, 10
Duckmilton, ['Duckmilton', 'Prostduck', 'Buckton', 'Ayrduck', 'Schumaduck', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Ducktel', 'Duckberg'], Schumaduck, 55, Londres, 47, 18
Ducktel, ['Ducktel', 'Prostduck', 'Duckmilton', 'Raiducknen', 'Alonsduck', 'Duckberg', 'Ayrduck', 'Verstaduck', 'Buckton', 'Schumaduck'], Raiducknen, 50, Pekin, 49, 13
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Duckberg', 'Schumaduck', 'Prostduck', 'Ayrduck', 'Raiducknen', 'Alonsduck', 'Buckton'], Buckton, 60, Berlin, 40, 19
Duckmilton, ['Duckmilton', 'Duckberg', 'Ducktel', 'Verstaduck', 'Schumaduck', 'Alonsduck', 'Buckton', 'Raiducknen', 'Ayrduck', 'Prostduck'], Schumaduck, 56, Berne, 41, 13
Duckmilton, ['Duckmilton', 'Verstaduck', 'Prostduck', 'Schumaduck', 'Alonsduck', 'Buckton', 'Raiducknen', 'Ayrduck', 'Ducktel', 'Duckberg'], Duckberg, 58, Berlin, 40, 16
Ayrduck, ['Ayrduck', 'Raiducknen', 'Duckmilton', 'Verstaduck', 'Schumaduck', 'Ducktel', 'Prostduck', 'Alonsduck', 'Buckton', 'Duckberg'], Ayrduck, 58, Berne, 43, 19
Duckmilton, ['Duckmilton', 'Duckberg', 'Alonsduck', 'Verstaduck', 'Buckton', 'Schumaduck', 'Raiducknen', 'Prostduck', 'Ducktel', 'Ayrduck'], Verstaduck, 56, Madrid, 41, 12
Verstaduck, ['Verstaduck', 'Ducktel', 'Schumaduck', 'Duckmilton', 'Prostduck', 'Ayrduck', 'Alonsduck', 'Raiducknen', 'Duckberg', 'Buckton'], Duckberg, 56, Tokyo, 46, 19
Duckmilton, ['Duckmilton', 'Buckton', 'Prostduck', 'Verstaduck', 'Duckberg', 'Ducktel', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Ayrduck'], Schumaduck, 57, Rome, 47, 18
Duckmilton, ['Duckmilton', 'Ducktel', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Prostduck', 'Raiducknen', 'Buckton'], Duckberg, 52, Singapour, 50, 14
Raiducknen, ['Raiducknen', 'Duckmilton', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Alonsduck', 'Duckberg', 'Ducktel', 'Buckton', 'Ayrduck'], Verstaduck, 50, Madrid, 49, 20
Duckmilton, ['Duckmilton', 'Prostduck', 'Verstaduck', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Alonsduck', 'Ducktel', 'Ayrduck', 'Buckton'], Buckton, 56, Londres, 49, 14
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ayrduck', 'Prostduck', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Buckton'], Prostduck, 53, Rome, 50, 16
Duckmilton, ['Duckmilton', 'Ducktel', 'Buckton', 'Prostduck', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Schumaduck', 'Duckberg', 'Raiducknen'], Schumaduck, 52, Singapour, 40, 15
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Ducktel', 'Verstaduck', 'Prostduck', 'Buckton', 'Duckberg', 'Alonsduck', 'Ayrduck'], Schumaduck, 52, Madrid, 43, 14
Duckmilton, ['Duckmilton', 'Verstaduck', 'Duckberg', 'Alonsduck', 'Ducktel', 'Prostduck', 'Raiducknen', 'Schumaduck', 'Ayrduck', 'Buckton'], Ayrduck, 54, Singapour, 44, 10
Duckmilton, ['Duckmilton', 'Alonsduck', 'Ducktel', 'Verstaduck', 'Schumaduck', 'Buckton', 'Duckberg', 'Raiducknen', 'Prostduck', 'Ayrduck'], Buckton, 55, Singapour, 40, 10
Duckmilton, ['Duckmilton', 'Buckton', 'Schumaduck', 'Alonsduck', 'Duckberg', 'Ducktel', 'Ayrduck', 'Raiducknen', 'Verstaduck', 'Prostduck'], Verstaduck, 59, Berlin, 49, 12
Ducktel, ['Ducktel', 'Duckmilton', 'Alonsduck', 'Schumaduck', 'Duckberg', 'Verstaduck', 'Ayrduck', 'Raiducknen', 'Prostduck', 'Buckton'], Ducktel, 53, Berlin, 47, 13
Schumaduck, ['Schumaduck', 'Duckmilton', 'Buckton', 'Duckberg', 'Verstaduck', 'Ducktel', 'Prostduck', 'Alonsduck', 'Raiducknen', 'Ayrduck'], Schumaduck, 60, Tokyo, 48, 18
Alonsduck, ['Alonsduck', 'Verstaduck', 'Duckmilton', 'Buckton', 'Ayrduck', 'Prostduck', 'Schumaduck', 'Ducktel', 'Raiducknen', 'Duckberg'], Ducktel, 54, Paris, 41, 14
Duckmilton, ['Duckmilton', 'Prostduck', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Raiducknen', 'Buckton', 'Alonsduck', 'Ayrduck', 'Duckberg'], Schumaduck, 53, Berlin, 48, 19
Duckmilton, ['Duckmilton', 'Schumaduck', 'Ducktel', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Verstaduck', 'Buckton', 'Ayrduck', 'Duckberg'], Duckmilton, 56, New York, 45, 16
Buckton, ['Buckton', 'Verstaduck', 'Duckmilton', 'Schumaduck', 'Duckberg', 'Prostduck', 'Alonsduck', 'Ducktel', 'Raiducknen', 'Ayrduck'], Raiducknen, 50, Paris, 40, 12
Ayrduck, ['Ayrduck', 'Duckmilton', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Alonsduck', 'Buckton', 'Ducktel', 'Duckberg', 'Raiducknen'], Schumaduck, 56, Rome, 48, 11
Duckmilton, ['Duckmilton', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Buckton', 'Alonsduck', 'Verstaduck', 'Ducktel', 'Prostduck', 'Ayrduck'], Prostduck, 52, Rio, 43, 13
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Ducktel', 'Prostduck', 'Ayrduck', 'Duckberg', 'Buckton'], Raiducknen, 50, Rome, 45, 20
Duckmilton, ['Duckmilton', 'Ducktel', 'Verstaduck', 'Alonsduck', 'Schumaduck', 'Buckton', 'Raiducknen', 'Prostduck', 'Duckberg', 'Ayrduck'], Duckmilton, 54, Berlin, 49, 14
Duckmilton, ['Duckmilton', 'Ducktel', 'Alonsduck', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Ayrduck', 'Verstaduck', 'Buckton', 'Prostduck'], Duckberg, 58, Rome, 41, 13
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Prostduck', 'Ayrduck', 'Buckton', 'Duckberg'], Ayrduck, 55, Paris, 44, 20
Ducktel, ['Ducktel', 'Duckmilton', 'Ayrduck', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Alonsduck', 'Duckberg', 'Prostduck', 'Buckton'], Ayrduck, 53, Berne, 40, 20
Duckmilton, ['Duckmilton', 'Alonsduck', 'Buckton', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Duckberg', 'Ducktel', 'Ayrduck', 'Raiducknen'], Alonsduck, 54, Moscou, 48, 19
Verstaduck, ['Verstaduck', 'Buckton', 'Duckmilton', 'Ducktel', 'Duckberg', 'Prostduck', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Ayrduck'], Alonsduck, 51, Paris, 46, 15
Duckmilton, ['Duckmilton', 'Ducktel', 'Verstaduck', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Ayrduck', 'Duckberg', 'Buckton', 'Prostduck'], Alonsduck, 50, Paris, 41, 19
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Prostduck', 'Ayrduck', 'Duckberg', 'Raiducknen', 'Buckton'], Ducktel, 53, Rio, 45, 17
Duckmilton, ['Duckmilton', 'Verstaduck', 'Prostduck', 'Raiducknen', 'Ducktel', 'Schumaduck', 'Ayrduck', 'Duckberg', 'Alonsduck', 'Buckton'], Duckmilton, 53, Madrid, 49, 20
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Ducktel', 'Schumaduck', 'Ayrduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Prostduck'], Alonsduck, 56, Berne, 40, 16
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Raiducknen', 'Ayrduck', 'Duckberg', 'Prostduck', 'Alonsduck', 'Buckton'], Prostduck, 57, Berlin, 45, 17
